actor_account_id,log_cnt,con_cnt,exp_amt,exp_mastery_amt,exhaust_cnt,die_cnt,quest_cnt,party_join_cnt,party_kick_cnt,guild_join_cnt,guild_withdraw_cnt,teleport_cnt,pve_cnt,pvp_cnt,ducel_end_cnt,spent_money,increased_money,decreased_money,increased_money2,increased_money3,decreased_money2,increased_experience,total_experience,in_item,decreased_item,increased_item1,decreased_item1,del_cnt,guild_create_cnt,min_time,max_time
003B1E06,37423.0,176.0,77029.0,4229266.0,171.0,114.0,754.0,148.0,0.0,0.0,0.0,42.0,4258.0,46.0,1.0,6007.0,70741695.0,69843958.0,429738.0,7206031.0,5960.0,77029.0,6408195375.0,4729.0,2516.0,816621.0,225331.0,3.0,0.0,2016-04-01 18:44:53.524,2016-05-08 10:49:15.998
003D42CD,33900.0,102.0,1797006.0,11180677.0,141.0,84.0,822.0,104.0,0.0,1.0,0.0,157.0,4518.0,36.0,1.0,22251.0,78399260.0,79324204.0,128654.0,1439584.0,3920.0,1797006.0,3432077838.0,3390.0,2469.0,261674.0,329964.0,3.0,0.0,2016-04-04 14:13:54.266,2016-05-11 03:34:49.201
006093EB,49063.0,237.0,0.0,12847058.0,177.0,109.0,831.0,273.0,0.0,0.0,0.0,85.0,6208.0,34.0,1.0,14648.0,76950639.0,16271237.0,952113.0,6486549.0,9000.0,0.0,11475951034.0,6395.0,3467.0,1053594.0,368977.0,0.0,0.0,2016-04-01 11:09:13.026,2016-05-10 15:35:21.701
0067CFF2,4608.0,28.0,0.0,1801082.0,31.0,27.0,49.0,12.0,0.0,0.0,0.0,14.0,460.0,9.0,1.0,3911.0,4482465.0,1568261.0,133491.0,2544.0,4100.0,0.0,634759560.0,665.0,474.0,124022.0,81095.0,0.0,0.0,2016-04-01 00:00:39.522,2016-05-11 01:03:42.471
00731F6C,4881.0,21.0,0.0,2862484.0,21.0,11.0,90.0,12.0,0.0,0.0,0.0,21.0,820.0,0.0,1.0,4076.0,2116036.0,95247.0,20792.0,248503.0,0.0,0.0,957155432.0,461.0,257.0,57062.0,13773.0,0.0,0.0,2016-04-29 16:54:39.814,2016-05-08 20:16:30.029
007C7AEA,27108.0,102.0,0.0,12753871.0,117.0,161.0,413.0,86.0,0.0,0.0,0.0,86.0,2514.0,31.0,1.0,25232.0,574650332.0,507573033.0,176908.0,20510034.0,0.0,0.0,5665748456.0,3002.0,2159.0,750254.0,323679.0,5.0,0.0,2016-04-01 11:11:50.902,2016-05-09 00:15:35.437
007DA514,1352.0,25.0,0.0,1357870.0,1.0,0.0,13.0,0.0,0.0,0.0,0.0,23.0,172.0,0.0,1.0,2585.0,127301.0,5038.0,1589.0,0.0,0.0,0.0,33171511.0,173.0,116.0,9790.0,8214.0,0.0,0.0,2016-04-19 16:11:27.116,2016-05-10 15:15:46.290
008285F2,35585.0,231.0,0.0,9403590.0,82.0,168.0,514.0,246.0,0.0,0.0,0.0,148.0,2703.0,108.0,1.0,33407.0,517742046.0,362761367.0,3085353.0,2888717.0,24300.0,0.0,6362121548.0,5609.0,3430.0,850234.0,357570.0,0.0,0.0,2016-04-01 20:00:12.723,2016-05-10 21:58:23.297
0086503D,49528.0,233.0,3559620.0,15713943.0,218.0,134.0,884.0,130.0,0.0,2.0,0.0,305.0,7244.0,30.0,1.0,42752.0,152287459.0,143631424.0,398599.0,7395484.0,44040.0,3559620.0,5966918604.0,4409.0,3428.0,191213.0,162804.0,6.0,0.0,2016-04-10 20:26:02.560,2016-05-08 23:13:26.009
008999EA,71629.0,650.0,1386097.0,27710104.0,86.0,221.0,1250.0,235.0,0.0,1.0,2.0,262.0,8256.0,219.0,1.0,49549.0,306447449.0,308586582.0,323658.0,1032780.0,97060.0,1386097.0,7859113660.0,12033.0,8045.0,1996793.0,606820.0,0.0,0.0,2016-04-05 15:57:22.419,2016-05-11 01:39:56.557
