,actor_account_id,dt_cnt,con_cnt,log_cnt,char_cnt,exp_amt,exp_mastery_amt,exhaust_cnt,exhaust_pvp_cnt,die_cnt,die_pvp_cnt,quest_cnt,party_join_cnt,party_kick_cnt,guild_join_cnt,guild_withdraw_cnt,teleport_cnt,pve_cnt,pvp_cnt,arena_cnt,lev_max,actor_job,dt_cnt_last,con_cnt_last,log_cnt_last,char_cnt_last,exp_amt_last,exp_mastery_amt_last,exhaust_cnt_last,exhaust_pvp_cnt_last,die_cnt_last,die_pvp_cnt_last,quest_cnt_last,party_join_cnt_last,party_kick_cnt_last,guild_join_cnt_last,guild_withdraw_cnt_last,teleport_cnt_last,pve_cnt_last,pvp_cnt_last,arena_cnt_last,dt_cnt_slope,con_cnt_slope,log_cnt_slope,char_cnt_slope,exp_amt_slope,exp_mastery_amt_slope,exhaust_cnt_slope,exhaust_pvp_cnt_slope,die_cnt_slope,die_pvp_cnt_slope,quest_cnt_slope,party_join_cnt_slope,party_kick_cnt_slope,guild_join_cnt_slope,guild_withdraw_cnt_slope,teleport_cnt_slope,pve_cnt_slope,pvp_cnt_slope,arena_cnt_slope,dt_cnt_cv,con_cnt_cv,log_cnt_cv,char_cnt_cv,exp_amt_cv,exp_mastery_amt_cv,exhaust_cnt_cv,exhaust_pvp_cnt_cv,die_cnt_cv,die_pvp_cnt_cv,quest_cnt_cv,party_join_cnt_cv,party_kick_cnt_cv,guild_join_cnt_cv,guild_withdraw_cnt_cv,teleport_cnt_cv,pve_cnt_cv,pvp_cnt_cv,arena_cnt_cv,churn_yn
1,003B1E06,19,176,37423,4,77029,4229266,171,37,114,10,754,148,0,0,0,42,4258,46,10,50,9,3,45,7184,4,0,777266,49,11,36,7,145,18,0,0,0,3,807,25,10,-0.4,1.4,-106.9,0.3,-7702.899999,-44794.7,1.9,-0.3,3.5,1.1,3,-4.9,0,0,0,-2,-21,3.2,2,0.28827503,0.320534717,0.146563074,0.746894397,2.236067977,0.320858898,0.387819432,1.146990157,0.476073066,1.414213562,0.143500754,0.315657873,0,0,0,0.710353599,0.239317096,1.074393311,2.236067977,0
2,003D42CD,26,102,33900,7,1797006,11180677,141,48,84,28,822,104,0,1,0,157,4518,36,5,50,3,6,39,9929,3,0,7606788,100,47,65,27,157,66,0,1,0,30,1006,34,5,1,6.1,1227.4,-0.9,11781.2,1763134.8,19.4,9.5,12.6,5.3,2.700000002,12.3,0,0.2,0,9.4,142.4,6.8,1,0.369911232,0.594802849,0.624303933,0.504608392,0.973786125,1.446195148,1.531784869,2.178304084,1.774495141,2.137642465,0.741190746,1.265332722,0,2.236067977,0,0.869499675,0.613836736,2.081943981,2.236067977,0
3,006093EB,34,237,49063,1,0,12847058,177,30,109,2,831,273,0,0,0,85,6208,34,0,50,3,6,28,4513,1,0,1641479,11,1,6,0,81,24,0,0,0,8,456,1,0,-0.2,-2.1,-851.9,9.93E-17,0,-129801.7,-7.6,-0.8,-2.9,-0.1,-9,-5.1,0,0,0,0.8,-152.1,-0.8,0,0.065766705,0.196558866,0.276967823,0,0,0.19582789,0.540327962,0.955303116,0.80389676,2.236067977,0.281265549,0.27177582,0,0,0,0.496655481,0.358155035,0.928340674,0,0
4,0067CFF2,10,28,4608,3,0,1801082,31,5,27,4,49,12,0,0,0,14,460,9,0,50,2,4,10,122,3,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0.6,1.8,21.4,0.4,0,2.76E-06,0,0,0,0,0,0,0,0,0,0,2.2,0,0,1.17260394,1.351359269,1.305704108,1.224744871,0,2.236067977,0,0,0,0,0,0,0,0,0,0,2.236067977,0,0,1
5,00731F6C,5,21,4881,1,0,2862484,21,6,11,3,90,12,0,0,0,21,820,0,0,50,1,3,14,1608,1,0,132946,8,3,4,2,24,9,0,0,0,6,114,0,0,0.8,3.5,648.9,0.3,0,299543,2.9,0.9,1.5,0.5,11.4,2.1,0,0,0,2.7,93.4,0,0,1.414213562,1.490711985,1.496205529,1.369306394,0,2.108651209,1.432534186,1.369306394,1.451701766,1.490711985,1.598610508,1.629800601,0,0,0,1.564921593,1.871841977,0,0,0
6,007C7AEA,29,102,27108,8,0,12753871,117,0,161,31,413,86,0,0,0,86,2514,31,0,50,9,4,14,3146,2,0,929940,15,0,34,0,46,18,0,0,0,8,231,0,0,-0.6,0.5,-59.49999998,-0.1,0,-290877.9,-1.4,0,4.1,-0.3,-1.5,1.8,0,0,0,-1.9,-7.999999997,-0.3,0,0.224800083,0.511004191,0.732638758,0.380300012,0,0.424852094,0.255336957,0,0.481481481,1.663687814,0.895714545,0.43204938,0,0,0,0.576110101,1.254054227,1.663687814,0,0
7,007DA514,19,25,1352,2,0,1357870,1,0,0,0,13,0,0,0,0,23,172,0,0,50,5,6,7,537,1,0,289380,1,0,0,0,8,0,0,0,0,17,55,0,0,1.7,2,105.5,0.1,0,56876,0.2,0,0,0,1.5,0,0,0,0,3.4,10.9,0,0,0.798197415,0.748331477,0.962279954,0.707106781,0,1.682866869,2.236067977,0,0,0,1.321197234,0,0,0,0,1.609283089,1.4939994,0,0,1
8,008285F2,35,231,35585,4,0,9403590,82,17,168,101,514,246,0,0,0,148,2703,108,0,50,3,7,38,5579,1,0,2227347,18,5,8,1,86,35,0,0,0,30,329,5,0,0,-2.3,-586.8,-5.26E-12,0,111786.9,-3.2,0.8,-11.9,-7.1,-5.3,-7.2,0,0,0,0.6,-94.5,-7,0,0,0.183291687,0.186156622,0.559016994,0,0.248899047,0.82637777,0.812232862,0.715663296,0.645497224,0.161011766,0.402954734,0,0,0,0.180868733,0.344398321,0.63913598,0,0
9,0086503D,18,233,49528,9,3559620,15713943,218,26,134,10,884,130,0,2,0,305,7244,30,3,50,7,1,1,226,1,0,1005522,1,0,3,0,4,0,0,0,0,4,57,0,0,-0.9,-15.5,-4708,-0.7,-361848.6,-1066364.4,-20.8,-3,-11.4,-1,-87.4,-9.899999999,0,-0.2,0,-30.5,-736.7,-2.9,-0.3,0.668977477,0.993471849,0.802360702,0.774267264,1.291360886,0.713921268,1.203702415,1.140953613,1.312987543,1.224744871,0.835568253,1.378458534,0,1.369306394,0,1.057535888,0.919815618,1.296362432,2.236067977,0
10,008999EA,33,650,71629,9,1386097,27710104,86,2,221,168,1250,235,0,1,2,262,8256,219,75,50,6,7,172,15089,9,0,11096262,30,2,96,73,361,82,0,1,2,65,1557,119,18,0.4,16.1,-622.8999999,0.2,-136302.8,1533402.6,3.7,0.4,19.1,15.2,34.5,18.7,0,0.2,0.4,2.400000001,-105,24.4,3.6,0.135519271,0.378069786,0.650171158,0.050819727,2.236067977,0.748568074,0.706580749,2.236067977,0.748386743,0.774839059,0.758673385,0.630627674,0,2.236067977,2.236067977,0.884092655,1.136323302,1.016097166,0.565685425,0
